41.5956216307,2853.6977290838
76.0242914084,3007.311175114
89.6150501947,3.2962987477
100,0.4047721524
124.5197084735,0.5260931155
155.0515779833,0.4047721524
163.7893706954,4.2842870177
215.4434690032,4.0654456494
372.7593720315,5.0140626179
464.1588833613,1.6672909207
610.5402296585,1.8516213603
803.0857221392,2.2836722578
896.1505019466,1.7570405466
1056.3541037492,2.2836722578
1245.197084735,3.4737372355
1550.5157798326,5.0140626179
1827.6993690192,8.0375435606
2039.5004690051,2569.6097571494
